Comment,Label
"Excelente atendimento",true
"Péssimo serviço",false
"Gostei muito",true
"Não gostei",false
"Produto ruim",false
"Recomendo",true
"Atendimento rápido e eficiente",true
"Demoraram muito para responder",false
"Produto chegou danificado",false
"Ótima experiência de compra",true
"Não volto a comprar aqui",false
"Preço justo e qualidade boa",true
"Fiquei satisfeito com o produto",true
"O suporte foi inútil",false
"Entrega no prazo gostei",true
"Produto não corresponde à descrição",false
"Funcionou perfeitamente",true
"Não atendeu minhas expectativas",false
"Recomendo a todos os meus amigos",true
"Problemas constantes com o produto",false
"Superou minhas expectativas",true
"Não vale o preço",false
"Fácil de usar e muito útil",true
"Produto de baixa qualidade",false
"Equipe muito atenciosa",true
"Não consegui suporte quando precisei",false
"Comprei de novo adoro",true
"Produto veio com defeito",false
"Entrega rápida e produto ótimo",true
"Não recebi o produto",false
"Muito satisfeito com a compra",true
"Produto parou de funcionar em pouco tempo",false
"Atendimento excelente",true
"Demora na entrega",false
"Produto lindo e resistente",true
"Qualidade ruim",false
"Compra fácil e segura",true
"Não recomendo para ninguém",false
"Produto atende ao que promete",true
"Problemas no pagamento",false
"Recomendo a compra",true
"Produto frágil demais",false
"Serviço de qualidade",true
"Não funcionou como esperado",false
"Entrega perfeita",true
"Fiquei decepcionado",false
"Produto muito bom",true
"Não valeu o investimento",false
"Atendimento cordial",true
"Produto chegou atrasado",false
"Gostei da qualidade",true
"Produto ruim e caro",false
"Recomendo pelo ótimo atendimento",true
"Não prestou",false
"Entrega rápida e produto de qualidade",true
"Não atendeu ao anúncio",false
"Produto durável e eficiente",true
"Ficou abaixo do esperado",false
"Gostei muito do suporte",true
"Não solucionaram meu problema",false
"Produto recomendado",true
"Produto com defeito",false
"Compra tranquila e rápida",true
"Não gostei do produto",false
"Produto excelente",true
"Problemas na entrega",false
"Gostei do atendimento",true
"Produto não funciona",false
"Recomendo para todos",true
"Produto com qualidade baixa",false
"Atendimento muito bom",true
"Fiquei insatisfeito",false
"Produto de ótima qualidade",true
"Não chegou no prazo",false
"Compra segura e rápida",true
"Produto não corresponde ao anúncio",false
"Gostei muito",true
"Produto de baixa qualidade",false
"Atendimento excelente",true
"Produto não funcionou",false
"Produto perfeito",true
"Não recomendo",false
"Entrega rápida e segura",true
"Produto veio errado",false
"Recomendo sem dúvidas",true
"Produto não serviu",false
"Ótimo custo-benefício",true
"Não gostei da qualidade",false
"Equipe atenciosa",true
"Produto chegou danificado",false
"Produto muito bom",true
"Problemas no suporte",false
"Gostei do produto",true
"Não volto a comprar",false
"Entrega eficiente",true
"Produto não é o esperado",false
"Recomendo com certeza",true
"Produto de má qualidade",false
"Serviço excelente",true
"Não gostei do atendimento",false
"Produto aprovado",true
"Produto ruim demais",false
